Grade Distribution By Course,,,
,,,
,,,
Course: AED 325  Student Total: 16  Credit Hours: 3  Grade Pts: 165.9  GPA Hours: 48  GPA: 3.46,,,
Grade: A,  Credits: 3,  Student Count: 10,  Pct: 62.5
Grade: A-,  Credits: 3,  Student Count: 1,  Pct: 6.25
Grade: B,  Credits: 3,  Student Count: 1,  Pct: 6.25
Grade: B+,  Credits: 3,  Student Count: 2,  Pct: 12.5
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 6.25
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 6.25
,,,
Course: AG 111  Student Total: 19  Credit Hours: 3  Grade Pts: 144  GPA Hours: 48  GPA: 3,,,
Grade: A,  Credits: 3,  Student Count: 6,  Pct: 31.58
Grade: A-,  Credits: 3,  Student Count: 2,  Pct: 10.53
Grade: B,  Credits: 3,  Student Count: 1,  Pct: 5.26
Grade: B+,  Credits: 3,  Student Count: 3,  Pct: 15.79
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 5.26
Grade: D,  Credits: 3,  Student Count: 1,  Pct: 5.26
Grade: F,  Credits: 3,  Student Count: 2,  Pct: 10.53
Grade: I/D+,  Credits: 3,  Student Count: 1,  Pct: 5.26
Grade: W,  Credits: 3,  Student Count: 2,  Pct: 10.53
,,,
Course: AG 200  Student Total: 35  Credit Hours: 2  Grade Pts: 206  GPA Hours: 62  GPA: 3.32,,,
Grade: A,  Credits: 2,  Student Count: 19,  Pct: 54.29
Grade: A-,  Credits: 2,  Student Count: 3,  Pct: 8.57
Grade: B+,  Credits: 2,  Student Count: 3,  Pct: 8.57
Grade: C,  Credits: 2,  Student Count: 1,  Pct: 2.86
Grade: C-,  Credits: 2,  Student Count: 1,  Pct: 2.86
Grade: D,  Credits: 2,  Student Count: 1,  Pct: 2.86
Grade: D+,  Credits: 2,  Student Count: 1,  Pct: 2.86
Grade: F,  Credits: 2,  Student Count: 2,  Pct: 5.71
Grade: U,  Credits: 2,  Student Count: 1,  Pct: 2.86
Grade: W,  Credits: 2,  Student Count: 3,  Pct: 8.57
,,,
Course: AG 301  Student Total: 172  Credit Hours: 3  Grade Pts: 1812.6  GPA Hours: 495  GPA: 3.66,,,
Grade: A,  Credits: 3,  Student Count: 103,  Pct: 59.88
Grade: A-,  Credits: 3,  Student Count: 23,  Pct: 13.37
Grade: B,  Credits: 3,  Student Count: 9,  Pct: 5.23
Grade: B+,  Credits: 3,  Student Count: 14,  Pct: 8.14
Grade: B-,  Credits: 3,  Student Count: 6,  Pct: 3.49
Grade: C+,  Credits: 3,  Student Count: 6,  Pct: 3.49
Grade: D+,  Credits: 3,  Student Count: 3,  Pct: 1.74
Grade: F,  Credits: 3,  Student Count: 1,  Pct: .58
Grade: U,  Credits: 3,  Student Count: 1,  Pct: .58
Grade: W,  Credits: 3,  Student Count: 6,  Pct: 3.49
,,,
Course: AG 311  Student Total: 166  Credit Hours: 3  Grade Pts: 1611.3  GPA Hours: 471  GPA: 3.42,,,
Grade: A,  Credits: 3,  Student Count: 93,  Pct: 56.02
Grade: A-,  Credits: 3,  Student Count: 15,  Pct: 9.04
Grade: B,  Credits: 3,  Student Count: 15,  Pct: 9.04
Grade: B+,  Credits: 3,  Student Count: 9,  Pct: 5.42
Grade: B-,  Credits: 3,  Student Count: 2,  Pct: 1.2
Grade: C,  Credits: 3,  Student Count: 7,  Pct: 4.22
Grade: C+,  Credits: 3,  Student Count: 3,  Pct: 1.81
Grade: C-,  Credits: 3,  Student Count: 2,  Pct: 1.2
Grade: D+,  Credits: 3,  Student Count: 4,  Pct: 2.41
Grade: F,  Credits: 3,  Student Count: 7,  Pct: 4.22
Grade: W,  Credits: 3,  Student Count: 9,  Pct: 5.42
,,,
Course: AG 321  Student Total: 66  Credit Hours: 3  Grade Pts: 582.3  GPA Hours: 183  GPA: 3.18,,,
Grade: A,  Credits: 3,  Student Count: 24,  Pct: 36.36
Grade: A-,  Credits: 3,  Student Count: 12,  Pct: 18.18
Grade: B,  Credits: 3,  Student Count: 4,  Pct: 6.06
Grade: B+,  Credits: 3,  Student Count: 7,  Pct: 10.61
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 1.52
Grade: C,  Credits: 3,  Student Count: 4,  Pct: 6.06
Grade: C+,  Credits: 3,  Student Count: 3,  Pct: 4.55
Grade: D,  Credits: 3,  Student Count: 1,  Pct: 1.52
Grade: F,  Credits: 3,  Student Count: 5,  Pct: 7.58
Grade: S,  Credits: 3,  Student Count: 1,  Pct: 1.52
Grade: W,  Credits: 3,  Student Count: 4,  Pct: 6.06
,,,
Course: AG 351  Student Total: 87  Credit Hours: 3  Grade Pts: 896.7  GPA Hours: 249  GPA: 3.6,,,
Grade: A,  Credits: 3,  Student Count: 50,  Pct: 57.47
Grade: A-,  Credits: 3,  Student Count: 13,  Pct: 14.94
