Grade Distribution By Course,,,
_,,,
_,,,
College of Agricultural Sci,,,
Agricultural Education,,,
_,,,
Course: AED 235  Student Total: 42  Credit Hours: 2  Grade Pts: 247  GPA Hours: 82  GPA: 3.01,,,
Grade: A,  Credits: 2,  Student Count: 19,  Pct: 45.24
Grade: A-,  Credits: 2,  Student Count: 6,  Pct: 14.29
Grade: B,  Credits: 2,  Student Count: 3,  Pct: 7.14
Grade: B+,  Credits: 2,  Student Count: 2,  Pct: 4.76
Grade: C,  Credits: 2,  Student Count: 4,  Pct: 9.52
Grade: C-,  Credits: 2,  Student Count: 1,  Pct: 2.38
Grade: F,  Credits: 2,  Student Count: 6,  Pct: 14.29
Grade: U,  Credits: 2,  Student Count: 1,  Pct: 2.38
_,,,
Course: AG 111  Student Total: 20  Credit Hours: 3  Grade Pts: 181.8  GPA Hours: 60  GPA: 3.03,,,
Grade: A,  Credits: 3,  Student Count: 8,  Pct: 40
Grade: A-,  Credits: 3,  Student Count: 4,  Pct: 20
Grade: B,  Credits: 3,  Student Count: 1,  Pct: 5
Grade: B-,  Credits: 3,  Student Count: 4,  Pct: 20
Grade: F,  Credits: 3,  Student Count: 3,  Pct: 15
_,,,
Course: AG 301  Student Total: 174  Credit Hours: 3  Grade Pts: 1872.6  GPA Hours: 501  GPA: 3.74,,,
Grade: A,  Credits: 3,  Student Count: 128,  Pct: 73.56
Grade: A-,  Credits: 3,  Student Count: 10,  Pct: 5.75
Grade: B,  Credits: 3,  Student Count: 9,  Pct: 5.17
Grade: B+,  Credits: 3,  Student Count: 8,  Pct: 4.6
Grade: B-,  Credits: 3,  Student Count: 3,  Pct: 1.72
Grade: C,  Credits: 3,  Student Count: 2,  Pct: 1.15
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 1.15
Grade: C-,  Credits: 3,  Student Count: 3,  Pct: 1.72
Grade: F,  Credits: 3,  Student Count: 2,  Pct: 1.15
Grade: S,  Credits: 3,  Student Count: 1,  Pct: .57
Grade: W,  Credits: 3,  Student Count: 6,  Pct: 3.45
_,,,
Course: AG 311  Student Total: 100  Credit Hours: 3  Grade Pts: 973.5  GPA Hours: 282  GPA: 3.45,,,
Grade: A,  Credits: 3,  Student Count: 58,  Pct: 58
Grade: A-,  Credits: 3,  Student Count: 8,  Pct: 8
Grade: B,  Credits: 3,  Student Count: 6,  Pct: 6
Grade: B+,  Credits: 3,  Student Count: 5,  Pct: 5
Grade: B-,  Credits: 3,  Student Count: 2,  Pct: 2
Grade: C,  Credits: 3,  Student Count: 7,  Pct: 7
Grade: C+,  Credits: 3,  Student Count: 2,  Pct: 2
Grade: C-,  Credits: 3,  Student Count: 2,  Pct: 2
Grade: D,  Credits: 3,  Student Count: 1,  Pct: 1
Grade: F,  Credits: 3,  Student Count: 3,  Pct: 3
Grade: S,  Credits: 3,  Student Count: 1,  Pct: 1
Grade: W,  Credits: 3,  Student Count: 5,  Pct: 5
_,,,
Course: AG 321  Student Total: 70  Credit Hours: 3  Grade Pts: 594.9  GPA Hours: 195  GPA: 3.05,,,
Grade: A,  Credits: 3,  Student Count: 31,  Pct: 44.29
Grade: A-,  Credits: 3,  Student Count: 8,  Pct: 11.43
Grade: B,  Credits: 3,  Student Count: 3,  Pct: 4.29
Grade: B+,  Credits: 3,  Student Count: 4,  Pct: 5.71
